Desmond Bane,"$3,845,083","$34,005,250","$36,725,670","$39,446,090"
Russell Westbrook,"$3,835,738","$4,027,525",$0,$0
Kevin Love,"$3,835,738","$4,027,525",$0,$0
Corey Kispert,"$3,722,040","$5,705,887","$7,976,830",$0
AJ Griffin,"$3,712,920","$3,889,920","$5,967,137","$8,383,828"
Jalen Hood-Schifino,"$3,695,076","$3,879,830","$4,064,584","$6,243,200"
Amir Coffey,"$3,666,667","$3,938,271",$0,$0
Alperen Sengun,"$3,536,280","$5,424,654","$7,621,638",$0
Tari Eason,"$3,527,160","$3,695,160","$5,675,766","$8,014,181"
Jaime Jaquez,"$3,510,540","$3,686,067","$3,861,594","$5,939,132"
Mike Muscala,"$3,500,000",$0,$0,$0
Andre Drummond,"$3,360,000",$0,$0,$0
Trey Murphy,"$3,359,280","$5,159,854","$7,285,713",$0
Brandin Podziemski,"$3,352,404","$3,520,024","$3,687,644","$5,678,972"
Dalen Terry,"$3,350,760","$3,510,480","$5,399,118","$7,661,349"
Cameron Whitmore,"$3,218,160","$3,379,068","$3,539,976","$5,458,643"
Jake LaRavia,"$3,199,920","$3,352,680","$5,163,127","$7,362,619"
Derrick Rose,"$3,196,448","$3,356,271",$0,$0
Eric Gordon,"$3,196,448","$3,356,271",$0,$0
Wesley Matthews,"$3,196,448",$0,$0,$0
Justin Holiday,"$3,196,448",$0,$0,$0
DeAndre Jordan,"$3,196,448",$0,$0,$0
Cory Joseph,"$3,196,448",$0,$0,$0
Jae Crowder,"$3,196,448",$0,$0,$0
Robin Lopez,"$3,196,448",$0,$0,$0
Cody Zeller,"$3,196,448",$0,$0,$0
Patrick Beverley,"$3,196,448",$0,$0,$0
Alex Len,"$3,196,448",$0,$0,$0
Nerlens Noel,"$3,196,448",$0,$0,$0
Garrett Temple,"$3,196,448",$0,$0,$0
Tre Mann,"$3,191,400","$4,908,373","$6,964,982",$0
Noah Clowney,"$3,089,460","$3,243,933","$3,398,406","$5,413,661"
Malaki Branham,"$3,071,880","$3,217,920","$4,962,033","$7,110,593"
Kai Jones,"$3,047,880","$4,693,735","$6,693,266",$0
Simone Fontecchio,"$3,044,872",$0,$0,$0
Dante Exum,"$3,000,000","$3,150,000",$0,$0
Julian Champagnie,"$3,000,000","$3,000,000","$3,000,000","$3,000,000"
Jordan Nwora,"$3,000,000",$0,$0,$0
Dariq Whitehead,"$2,966,040","$3,114,342","$3,262,644","$5,367,049"
Christian Braun,"$2,949,120","$3,089,640","$4,921,797","$7,092,309"
Jalen Johnson,"$2,925,360","$4,510,905","$6,464,127",$0
Josh Richardson,"$2,891,467","$3,051,153",$0,$0
Montrezl Harrell,"$2,891,467",$0,$0,$0
Kris Murray,"$2,847,504","$2,989,879","$3,132,254","$5,315,436"
Andrew Nicholson,"$2,844,429",$0,$0,$0
Walker Kessler,"$2,831,160","$2,965,920","$4,878,938","$7,064,703"
Josh Okogie,"$2,815,937","$2,956,734",$0,$0
Keon Johnson,"$2,808,720","$4,474,291","$6,447,453",$0
Omer Yurtseven,"$2,800,000","$2,660,000",$0,$0
Dewayne Dedmon,"$2,748,674","$2,748,674",$0,$0
Olivier-Maxence Prosper,"$2,733,720","$2,870,406","$3,007,092","$5,259,404"
David Roddy,"$2,718,240","$2,847,240","$4,831,766","$7,030,219"
Dario Saric,"$2,709,849",$0,$0,$0
Malik Beasley,"$2,709,849",$0,$0,$0
Isaiah Jackson,"$2,696,280","$4,435,380","$6,422,431",$0
Marcus Sasser,"$2,624,028","$2,755,229","$2,886,431","$5,198,462"
MarJon Beauchamp,"$2,609,400","$2,733,720","$4,781,276","$6,990,226"
Charles Bassey,"$2,600,000","$2,500,000","$2,500,000",$0
Usman Garuba,"$2,588,400","$4,392,515","$6,391,109",$0
Damian Jones,"$2,586,665",$0,$0,$0
Kris Dunn,"$2,586,484",$0,$0,$0
Bruno Fernando,"$2,581,522","$2,717,391","$2,853,260",$0
Ben Sheppard,"$2,537,172","$2,664,031","$2,790,889","$5,031,973"
Torrey Craig,"$2,528,233","$2,845,342",$0,$0
Thomas Bryant,"$2,528,233","$2,845,342",$0,$0
Damion Lee,"$2,528,233","$2,845,342",$0,$0
Dennis Smith,"$2,528,233",$0,$0,$0
Frank Ntilikina,"$2,528,233",$0,$0,$0
Blake Wesley,"$2,504,640","$2,624,280","$4,726,328","$6,942,976"
Josh Christopher,"$2,485,200","$4,346,615","$6,354,751",$0
Nick Smith,"$2,463,912","$2,587,108","$2,710,303","$4,889,387"
Brice Sensabaugh,"$2,448,600","$2,571,030","$2,693,460","$4,861,695"
Ty Jerome,"$2,439,025","$2,560,975",$0,$0
Julian Strawther,"$2,431,044","$2,552,596","$2,674,148","$4,826,838"
Wendell Moore,"$2,421,720","$2,537,040","$4,574,283","$6,751,642"
Kobe Brown,"$2,413,356","$2,534,024","$2,654,692","$4,791,718"
Luke Kornet,"$2,413,304",$0,$0,$0
John Konchar,"$2,400,000","$6,165,000","$6,165,000","$6,165,000"
Quentin Grimes,"$2,385,720","$4,296,682","$6,311,825",$0
Nikola Jovic,"$2,352,000","$2,464,200","$4,445,417","$6,592,553"
Keita Bates-Diop,"$2,346,614","$2,654,644",$0,$0
Drew Eubanks,"$2,346,614","$2,654,644",$0,$0
Yuta Watanabe,"$2,346,614","$2,654,644",$0,$0
Lonnie Walker,"$2,346,614",$0,$0,$0
