334,Brian Cook,"$903,360 ","$1,457,133 "
335,Frank Williams,"$894,960 ","$1,443,584 "
336,Rod Strickland,"$887,317 ","$1,431,256 "
337,Samuel Dalembert,"$887,160 ","$1,431,003 "
338,Mitchell Butler,"$876,179 ","$1,413,290 "
339,John Salmons,"$865,320 ","$1,395,774 "
340,Primoz Brezec,"$861,600 ","$1,389,774 "
340,Jamaal Tinsley,"$861,600 ","$1,389,774 "
342,Tony Parker,"$856,200 ","$1,381,064 "
343,Chris Jefferies,"$840,360 ","$1,355,513 "
344,Ndudi Ebi,"$838,560 ","$1,352,610 "
345,Dan Dickau,"$835,200 ","$1,347,190 "
346,Maciej Lampe,"$829,000 ","$1,337,190 "
347,Robert Traylor,"$825,000 ","$1,330,738 "
348,Kendrick Perkins,"$814,320 ","$1,313,511 "
349,John Wallace,"$813,679 ","$1,312,477 "
349,Anthony Johnson,"$813,679 ","$1,312,477 "
349,Darvin Ham,"$813,679 ","$1,312,477 "
349,Rick Brunson,"$813,679 ","$1,312,477 "
349,Jacque Vaughn,"$813,679 ","$1,312,477 "
354,Leandro Barbosa,"$809,280 ","$1,305,381 "
355,Carlos Arroyo,"$800,000 ","$1,290,412 "
355,Brian Scalabrine,"$800,000 ","$1,290,412 "
357,Josh Howard,"$773,400 ","$1,247,506 "
358,Anthony Carter,"$751,179 ","$1,211,663 "
358,Vladimir Stepania,"$751,179 ","$1,211,663 "
358,Shammond Williams,"$751,179 ","$1,211,663 "
358,Damon Jones,"$751,179 ","$1,211,663 "
358,Adrian Griffin,"$751,179 ","$1,211,663 "
358,Mark Pope,"$751,179 ","$1,211,663 "
364,Bruno Sundov,"$751,159 ","$1,211,631 "
365,Eddie House,"$750,000 ","$1,209,761 "
366,Reggie Evans,"$700,000 ","$1,129,111 "
367,Doug Overton,"$695,844 ","$1,122,406 "
368,Raja Bell,"$688,679 ","$1,110,850 "
368,Milt Palacio,"$688,679 ","$1,110,850 "
368,Amal McCaskill,"$688,679 ","$1,110,850 "
368,Ansu Sesay,"$688,679 ","$1,110,850 "
368,Rafer Alston,"$688,679 ","$1,110,850 "
368,Scott Padgett,"$688,679 ","$1,110,850 "
368,Obinna Ekezie,"$688,679 ","$1,110,850 "
375,Oliver Miller,"$686,838 ","$1,107,880 "
376,Michael Ruffin,"$663,679 ","$1,070,524 "
376,Ruben Boumtje-Boumtje,"$663,679 ","$1,070,524 "
376,Donnell Harvey,"$663,679 ","$1,070,524 "
376,Mark Madsen,"$663,679 ","$1,070,524 "
376,Pepe Sanchez,"$663,679 ","$1,070,524 "
376,Brian Cardinal,"$663,679 ","$1,070,524 "
382,Jason Hart,"$638,679 ","$1,030,199 "
382,Jabari Smith Sr,"$638,679 ","$1,030,199 "
382,Trenton Hassell,"$638,679 ","$1,030,199 "
382,Loren Woods,"$638,679 ","$1,030,199 "
382,Bobby Simmons,"$638,679 ","$1,030,199 "
382,Jamison Brewer,"$638,679 ","$1,030,199 "
382,Mike Wilks,"$638,679 ","$1,030,199 "
382,Tremaine Fowlkes,"$638,679 ","$1,030,199 "
382,Jeff Trepagnier,"$638,679 ","$1,030,199 "
382,Chris Andersen,"$638,679 ","$1,030,199 "
382,Mike James,"$638,679 ","$1,030,199 "
393,Mengke Bateer,"$636,679 ","$1,026,973 "
393,Lonny Baxter,"$636,679 ","$1,026,973 "
395,Raul Lopez,"$621,520 ","$1,002,521 "
396,Dan Langhi,"$603,786 ","$973,915 "
397,Sean Marks,"$596,295 ","$961,833 "
398,Alton Ford,"$586,082 ","$945,359 "
399,Roger Mason,"$563,679 ","$909,223 "
399,Devin Brown,"$563,679 ","$909,223 "
399,Sam Clancy,"$563,679 ","$909,223 "
399,Robert Archibald,"$563,679 ","$909,223 "
399,Ronald Murray,"$563,679 ","$909,223 "
399,Dan Gadzuric,"$563,679 ","$909,223 "
399,Rasual Butler,"$563,679 ","$909,223 "
399,Jannero Pargo,"$563,679 ","$909,223 "
399,Jamal Sampson,"$563,679 ","$909,223 "
399,JR Bremer,"$563,679 ","$909,223 "
399,Carlos Boozer,"$563,679 ","$909,223 "
399,Tamar Slay,"$563,679 ","$909,223 "
411,Mikki Moore,"$513,000 ","$827,477 "
