Travis Diener,"$1,620,000 ","$2,193,742 "
Nick Young,"$1,602,960 ","$2,170,667 "
Devean George,"$1,600,000 ","$2,166,659 "
Justin Reed,"$1,573,000 ","$2,130,097 "
Shawne Williams,"$1,572,960 ","$2,130,042 "
Hamed Haddadi,"$1,572,221 ","$2,129,042 "
Marreese Speights,"$1,542,600 ","$2,088,930 "
Sean Williams,"$1,522,920 ","$2,062,280 "
Patrick O'Bryant,"$1,500,000 ","$2,031,243 "
Jose Juan Barea,"$1,500,000 ","$2,031,243 "
Ronald Murray,"$1,500,000 ","$2,031,243 "
Roy Hibbert,"$1,465,400 ","$1,984,389 "
Oleksiy Pecherov,"$1,446,720 ","$1,959,093 "
Marco Belinelli,"$1,446,720 ","$1,959,093 "
Quincy Douby,"$1,427,040 ","$1,932,443 "
JaVale McGee,"$1,392,240 ","$1,885,318 "
Javaris Crittenton,"$1,381,560 ","$1,870,856 "
Renaldo Balkman,"$1,369,920 ","$1,855,093 "
JJ Hickson,"$1,329,480 ","$1,800,331 "
Jason Smith,"$1,326,360 ","$1,796,106 "
Calvin Booth,"$1,319,651 ","$1,787,021 "
Rajon Rondo,"$1,315,080 ","$1,780,831 "
Malik Allen,"$1,300,000 ","$1,760,410 "
Alexis Ajinca,"$1,276,320 ","$1,728,344 "
Daequan Cook,"$1,273,200 ","$1,724,119 "
Marcus Williams,"$1,262,520 ","$1,709,656 "
Jacque Vaughn,"$1,262,275 ","$1,709,325 "
Sam Cassell,"$1,262,275 ","$1,709,325 "
Theo Ratliff,"$1,262,275 ","$1,709,325 "
Kevin Ollie,"$1,262,275 ","$1,709,325 "
Jason Williams,"$1,262,275 ","$1,709,325 "
Brian Skinner,"$1,262,275 ","$1,709,325 "
Lorenzen Wright,"$1,262,275 ","$1,709,325 "
Roko Ukic,"$1,250,000 ","$1,692,702 "
Ryan Anderson,"$1,225,200 ","$1,659,119 "
Jared Dudley,"$1,222,320 ","$1,655,219 "
Josh Boone,"$1,212,120 ","$1,641,407 "
Ronnie Price,"$1,188,000 ","$1,608,744 "
Courtney Lee,"$1,176,240 ","$1,592,819 "
Wilson Chandler,"$1,173,480 ","$1,589,082 "
Kyle Lowry,"$1,163,520 ","$1,575,594 "
